,tbc,minum_lyk,pers_miskin,kelas_tbc
0,729.0,73.64,4.32,1
1,494.0,87.09,6.46,1
2,252.0,82.26,2.71,1
3,373.0,85.02,5.29,1
4,246.0,73.72,3.11,1
5,284.0,75.83,6.73,1
6,883.0,95.65,4.27,1
63,48.0,68.34,13.72,0
64,69.0,86.8,7.34,0
65,30.0,82.36,7.13,0
66,32.0,69.6,5.88,0
67,43.0,87.17,4.16,0
68,92.0,87.19,6.34,0
69,37.0,90.02,6.6,0
70,31.0,69.39,6.8,0
71,69.0,81.44,6.8,0
72,57.0,80.11,6.45,0
73,41.0,71.5,5.56,0
74,66.0,78.79,6.92,0
75,67.0,98.64,4.17,0
76,102.0,96.22,3.05,0
77,38.0,90.46,2.27,0
78,90.0,99.07,5.24,0
79,11.0,99.95,4.11,0
80,69.0,98.63,5.44,0
81,109.0,94.48,4.2,0
82,144.0,62.72,17.51,0
83,177.0,56.37,14.79,0
84,193.0,84.11,11.29,0
85,29.0,84.18,17.83,0
86,70.0,70.93,18.0,0
87,212.0,75.45,10.76,1
88,146.0,59.7,11.15,0
89,360.0,62.14,14.12,1
90,115.0,50.44,9.4,0
91,363.0,93.38,14.71,1
92,27.0,79.25,7.54,0
93,56.0,55.9,8.9,0
94,46.0,71.44,8.54,0
95,55.0,82.6,9.45,0
96,39.0,73.0,4.43,0
97,44.0,86.91,10.85,0
98,46.0,92.04,9.79,0
99,51.0,74.76,6.46,0
100,41.0,76.02,5.29,0
101,54.0,98.41,8.24,0
102,56.0,90.74,3.0,0
103,2.4,82.23,11.46,0
104,4.5,80.59,13.15,0
105,3.9,90.78,10.93,0
106,2.9,86.16,15.0,0
107,2.4,89.34,14.13,0
108,4.1,85.58,14.9,0
109,5.7,80.66,9.58,0
110,2.0,80.18,10.36,0
111,3.6,96.92,9.99,0
112,2.5,75.1,13.28,0
113,1.4,65.94,11.8,0
114,1.0,91.18,10.91,0
115,1.4,86.25,18.26,0
116,20.1,96.71,10.22,0
117,1.9,95.69,11.23,0
118,1.0,88.58,8.88,0
119,2.6,97.52,12.65,0
120,327.0,87.91,5.95,1
121,312.0,84.47,5.9,1
122,154.0,88.52,5.25,0
123,121.0,84.6,11.26,0
124,114.0,28.96,6.95,0
125,3617.0,95.94,5.02,1
126,602.0,93.77,7.95,1
127,303.0,83.02,8.07,1
128,433.0,73.31,6.06,1
129,575.0,90.27,5.64,1
130,463.0,82.81,8.15,1
131,355.0,93.76,5.23,1
132,902.0,94.18,7.04,1
133,790.0,90.75,9.72,1
134,634.0,95.64,6.31,1
135,971.0,86.56,7.07,1
136,145.0,93.37,22.98,0
137,2605.0,99.17,3.16,1
138,532.0,89.81,3.21,1
139,40.9,63.16,11.17,0
140,34.3,63.71,10.52,0
141,50.4,89.85,12.79,0
142,29.1,85.51,13.8,0
143,60.0,85.89,10.65,0
144,45.0,67.73,17.17,0
145,32.1,69.07,11.02,0
146,58.7,84.62,8.04,0
147,45.1,87.49,12.89,0
148,93.4,95.64,9.14,0
149,60.4,81.39,6.73,0
150,41.8,59.03,7.25,0
151,40.5,67.78,13.49,0
152,84.0,98.06,7.77,0
153,111.3,95.85,7.28,0
